date,steps
2024-05-17,23863
2024-05-18,24261
2024-05-19,17046
2024-05-20,32913
2024-05-21,24418
2024-05-22,14899
2024-05-23,16122
2024-05-24,4122
2024-05-25,6571
2024-05-26,8333
2024-05-27,19766
2024-05-28,9005
2024-05-29,8473
2024-05-30,6890
2024-05-31,2342
2024-06-01,6877
2024-06-02,7659
2024-06-03,15769
2024-06-04,12424
2024-06-05,9680
2024-06-06,19083
2024-06-07,7798
2024-06-08,27103
2024-06-09,16187
2024-06-10,10031
2024-06-11,17071
2024-06-12,11294
2024-06-13,7014
2024-06-14,22647
2024-06-15,14339
2024-06-16,14540
2024-06-17,12707
2024-06-18,21965
2024-06-19,19358
2024-06-20,6782
2024-06-21,9416
2024-06-22,14082
2024-06-23,24276
2024-06-24,7348
2024-06-25,15982
2024-06-26,8151
2024-06-27,12219
2024-06-28,13042
2024-06-29,8527
2024-06-30,10760
2024-07-01,9435
2024-07-02,8495
2024-07-03,5057
2024-07-04,1142
2024-07-05,3998
2024-07-06,5300
2024-07-07,6849
2024-07-08,10897
2024-07-09,6724
2024-07-10,5231
2024-07-11,9461
2024-07-12,13295
2024-07-13,6453
2024-07-14,15189
2024-07-15,5400
2024-07-16,7410
2024-07-17,12097
2024-07-18,10863
2024-07-19,8096
2024-07-20,12274
2024-07-21,6269
2024-07-22,6098
2024-07-23,7927
2024-07-24,3279
2024-07-25,9454
2024-07-26,7912
2024-07-27,4712
2024-07-28,4984
2024-07-29,2416
2024-07-30,3761
2024-07-31,11952
2024-08-01,7429
2024-08-02,8334
2024-08-03,10554
2024-08-04,5592
2024-08-05,3774
2024-08-06,5948
2024-08-07,8514
2024-08-08,9768
2024-08-09,4026
2024-08-10,6209
2024-08-11,5225
2024-08-12,4763
2024-08-13,6895
2024-08-14,430
2024-08-15,8920
2024-08-16,8505
2024-08-17,6439
2024-08-18,10537
2024-08-19,13281
2024-08-20,6247
2024-08-21,4999
2024-08-22,9046
2024-08-23,9893
2024-08-24,5190
2024-08-25,8617
2024-08-26,4434
2024-08-27,4191
2024-08-28,9681
2024-08-29,7463
2024-08-30,4064
2024-08-31,4350
2024-09-01,10770
2024-09-02,5002
2024-09-03,2484
2024-09-04,1724
2024-09-05,1016
2024-09-06,712
2024-09-07,2220
2024-09-08,1372
2024-09-09,5614
2024-09-10,158
2024-09-11,2567
2024-09-12,9506
2024-09-13,10086
2024-09-14,12634
2024-09-15,6547
2024-09-16,6816
2024-09-17,5492
2024-09-18,3260
2024-09-19,5672
2024-09-20,5637
2024-09-21,5138
2024-09-22,7768
2024-09-23,6050
2024-09-24,10209
2024-09-25,12079
2024-09-26,11741
2024-09-27,2779
2024-09-28,3315
2024-09-29,7055
2024-09-30,9020
2024-10-01,6175
2024-10-02,10364
2024-10-03,10040
2024-10-04,7694
2024-10-05,10510
2024-10-06,10812
2024-10-07,5512
2024-10-08,9149
2024-10-09,10205
2024-10-10,6606
2024-10-11,2290
2024-10-12,1777
2024-10-13,6421
2024-10-14,4968
2024-10-15,9442
2024-10-16,5898
2024-10-17,8858
2024-10-18,3321
2024-10-19,1573
2024-10-20,2757
2024-10-21,3145
2024-10-22,307
2024-10-23,3857
2024-10-24,6952
2024-10-25,2102
2024-10-26,662
2024-10-27,1514
2024-10-28,4632
2024-10-29,6667
2024-10-30,4707
2024-10-31,7092
2024-11-01,2862
2024-11-02,8963
2024-11-03,7233
2024-11-04,9094
2024-11-05,7637
2024-11-06,9428
2024-11-07,7647
2024-11-08,4560
2024-11-09,14181
2024-11-10,6368
2024-11-11,5989
2024-11-12,7511
2024-11-13,11494
2024-11-14,6526
2024-11-15,3405
2024-11-16,12141
2024-11-17,13482
2024-11-18,8255
2024-11-19,3086
2024-11-20,16234
2024-11-21,10146
2024-11-22,8151
2024-11-23,1253
2024-11-24,1651
2024-11-25,12866
2024-11-26,10768
2024-11-27,2367
2024-11-28,867
2024-11-29,1780
2024-11-30,3286
2024-12-01,11674
2024-12-02,12007
2024-12-03,12075
2024-12-04,10989
2024-12-05,5616
2024-12-06,5346
2024-12-07,3930
2024-12-08,5142
2024-12-09,9575
2024-12-10,2956
2024-12-11,1582
2024-12-12,815
2024-12-13,1498
2024-12-14,6475
2024-12-15,2276
2024-12-16,4568
2024-12-17,5456
2024-12-18,2649
2024-12-19,1353
2024-12-20,1616
2024-12-21,2765
2024-12-22,8286
2024-12-23,10209
2024-12-24,14130
2024-12-25,14911
2024-12-26,802
2024-12-27,15977
2024-12-28,3258
2024-12-29,7052
2024-12-30,14432
2024-12-31,25920
2025-01-01,7908
2025-01-02,16327
2025-01-03,11592
2025-01-04,14391
2025-01-05,8170
2025-01-06,3513
2025-01-07,18154
2025-01-08,16685
2025-01-09,15265
2025-01-10,5774
2025-01-11,7873
2025-01-12,5205
2025-01-13,10025
2025-01-14,11550
2025-01-15,11790
2025-01-16,10310
2025-01-17,13051
2025-01-18,25793
2025-01-19,15563
2025-01-20,20340
2025-01-21,8223
2025-01-22,15326
2025-01-23,14285
2025-01-24,11702
2025-01-25,9898
2025-01-26,5461
